name,date_of_birth,phone,address,credit_card,franchise,e-mail
tester,2020-07-10,(+57) 320 432 05 09,x street,371449635398431,,yago@test.com
tester2,2020-07-11,(+57) 327-123-75-89,y street,30569309025904,,test@yago.com
tester3,2020-07-12,(+57) 327-123-75-90,y street,6011111111111117,,Test@15.com
tester4,2020-07-13,(+57) 327-123-75-91,y street,3530111333300000,,test@1.com
tester5,2020-07-14,(+57) 327-123-75-92,y street,5555555555554444,,test@2.com
tester6,2020-07-15,(+57) 327-123-75-93,y street,4111111111111111,,test2@2.com
tester7,2020-07-16,(+57) 327-123-75-94,y street,4111111111111111,,Test2@3.com
tester8,2020-07-17,(+57) 327-123-75-95,y street,4111111111111111,,4Test2@2.com
tester9,2020-07-18,(+57) 327-123-75-96,y street,4111111111111111,,Test6@2.com
tester10,2020-07-21,(+57) 327-123-75-01,y street,4111111111111111,,yago1@test.com
tester11,2020-07-22,(+57) 327-123-75-02,y street,4111111111111111,,yago2@test.com
tester12,2020-07-23,(+57) 327-123-75-03,y street,4111111111111111,,yago3@test.com
tester13,2020-07-24,(+57) 327-123-75-04,y street,4111111111111111,,yago4@test.com
tester14,2020-07-25,(+57) 327-123-75-05,y street,4111111111111111,,yago5@test.com
tester15,2020-07-26,(+57) 327-123-75-06,y street,4111111111111111,,yago6@test.com
tester16,2020-07-27,(+57) 327-123-75-07,y street,4111111111111111,,yago7@test.com
tester17,2020-07-28,(+57) 327-123-75-08,y street,4111111111111111,,yago8@test.com
